name,symbol,collection_name,IMAGE,Background,Fur / Skin,Noggin,Pie Hole,Grille,Threads,Shades,generation,Proof of Life,Inmate number,Token Address,Owner
Exiled Ape #1,xape,The Exiled Apes ,1594.png,Exile-Blue,Brown / Peach,Yield Farmin Hat,Hefeweizen,No Traits,Bride,No Traits,X,Full, #1594,7g98EcUzLxvbLip4zgsshqWhLV9KMVNt5z4zSJ2UZzj2,5awsmonFXxL4xCNQTYVgw8zGWXEzAcoTbirxYEYqxwh3
Exiled Ape #2,xape,The Exiled Apes ,8455.png,Exile-Black,Black / Gray,No Traits,Sandwich Token,No Traits,Chateau D'if,Blues Brothers,X,Full, #8455,C1z2h86tws5Hd3fQDSgqrS1uFGPJ6eegrQUa5pqg4uYp,Hcmhffby9VBwGxKbqVKA1q3Azg8REZSSirz42VWVPx4x
Exiled Ape #3,xape,The Exiled Apes ,2321.png,Exile-Red,Red / Blue,Noggin Merkin,Sandwich Token,No Traits,No Traits,No Traits,X,Ghost, #2321,B9yzq2FpLeoMPNxHZ9LoD94uU5zfcF9m6izE6QKaxRNa,7c4j9ftV5qd3LC6PTFwvZF9MDSK2Ljcbz4Ugs6RGdfU1
Exiled Ape #4,xape,The Exiled Apes ,4946.png,Exile-Green,Acid Trip,Phuckit Freestyler,Whiskey Boi,No Traits,Chateau D'if,Mirc Shades,X,Full, #4946,zo2G5Zp5QrrjV3uBSv9mP5sD2pmkNr8Kt89k8tLAVen,8YLcViSZn6bg42xHBTdqHAt5YFwaVNSgCWbDqxxz41QV
Exiled Ape #5,xape,The Exiled Apes ,7159.png,Exile-Blue,Albino / Peach,Phuckit Freestyler,Hopium pipe,No Traits,The Inglish,No Traits,X,Full, #7159,9eiC2MnLs91782QwyZsyHH1xaEMYNWfZRvYWJtUipqSD,DEKNh1twABp8uNWi2cNPKW7BnRUF4UQr6aDbyctG5U62
Exiled Ape #6,xape,The Exiled Apes ,5016.png,Exile-Yellow,Brown / Yellow,Noggin Merkin,Filthy Moolah,No Traits,Bee's Bomber,No Traits,X,Full, #5016,3cgifdAy3eTFZa4zJAKQgFW3m8SdxXTjb75perNAJ5wN,GUfCR9mK6azb9vcpsxgXyj7XRPAKJd4KMHTTVvtncGgp
Exiled Ape #7,xape,The Exiled Apes ,5958.png,Exile-Teal,Albino / Blue,No Traits,Banana Token,No Traits,No Traits,Mirc Shades,X,Ghost, #5958,DHrzEk72jNViy6wgfVGJDrNTJYF2DCnFfJFVMskqaRbn,GREgD1Qs1VTvaheQ2xprUpw5cisXqCVDhewjetc3bZVv
Exiled Ape #8,xape,The Exiled Apes ,6453.png,Exile-Yellow,Black / Peach,Driving Miss Daisy,Pizza Token,Wooden Toof,No Traits,No Traits,X,Full, #6453,2p49FxAA21RstBUUtohT75UdRx4CiKu7HFoVvG9QJWww,Bv3sd5i9evicVbosCmEjUD1oAWSrcj49jmQ1cAJVQPC8
Exiled Ape #9,xape,The Exiled Apes ,2660.png,Exile-Red,Red / Peach,Ring of Thorns,Tendies Token,Gold Teef,Bibs,Blues Brothers,X,Full, #2660,4QHVGiPzhEPi1Knmu4BFc6JbjJZbYn5FyfmaxxMS1Jom,CoZgvw3e38YAdhVy5SKdEFHVPgfUWoUsB6QHWxrYJeQP
Exiled Ape #10,xape,The Exiled Apes ,1782.png,Exile-Yellow,Brown / Yellow,Trucker Flat Bill,No Traits,No Traits,No Traits,Mirc Shades,X,Full, #1782,6ghHN8MxCGGBQzEcnN9GGqg8qZ9GmodXMjUC1FxaMbNR,HGwZqqUDQMys75LBdPq4fhejpriEM9kVDGr1yjxKegK6
Exiled Ape #11,xape,The Exiled Apes ,2970.png,Exile-Green,Blue / Blue,Wiggam's Cap,Whiskey Boi,No Traits,Mirc's Bomber,No Traits,X,Full, #2970,DtmrtuiSc32AWwenhq9wSdTnCUTeSrK5bKzzjbRoR4AY,4PQMcbeL1FVLQEptoQHkihDryAw8r35PDBSvxeGpqDz5
Exiled Ape #12,xape,The Exiled Apes ,6899.png,Exile-Green,Green / Green,Bluto's Wreath,Grilled Cheeze Token,No Traits,Point Break,No Traits,X,Ghost, #6899,82FuxBUUFfW9wtwFZx9FXngCRJXVpB1kfJkWA5qjpBhz,GREgD1Qs1VTvaheQ2xprUpw5cisXqCVDhewjetc3bZVv
Exiled Ape #13,xape,The Exiled Apes ,27.png,Exile-Blue,Albino / Blue,Jack & Coke,No Traits,No Traits,No Traits,No Traits,X,Full, #27,9sjjF2CEr6baHp9d5T8rHpjAwgz44RofU9MhYdVPWKd9,7Fr4TDkmxw7r8s4uqMyN9edLEaRmord7AfkvUG3Mnbjk
Exiled Ape #14,xape,The Exiled Apes ,2538.png,Exile-Black,Green / Green,Degen Curve Bill Hat,Pizza Token,No Traits,Beach Bum,Sanctuary Shades,X,Full, #2538,3vEaWHbLypbksPZmDVJ92sKk4XxsAYngG6BCmo8aGvJX,D4ajyHXbTKeDz6we2836WoW3PGJMXof5ygFQrMJNTTPt
Exiled Ape #15,xape,The Exiled Apes ,3684.png,Exile-Black,Ice,D'artagnan,Pizza Token,No Traits,Beach Bum,Mirc Shades,X,Ghost, #3684,89gpWoRVSZTgSbvE1f4ZM7YV436y6Aw73NyB2m42GsGw,C2J2qGqBxX8z2vnpsuvLHcfthMWsSijtb1T3LbYnD2Ux
Exiled Ape #16,xape,The Exiled Apes ,6117.png,Exile-Purple,Purple / Peach,Praetorian Helmet,Spittle,No Traits,Coming to America,No Traits,X,Full, #6117,A4vNnkshDfavTnXYki8ScKr8rkaXF59mDJYFUUkWvqVU,9QExDtCJGruZBwGCjSaD8GKRwAUuBJ7yKGTqiM2GSkzL
